engine_size_l,cylinders,fuel_type,vehicle_class,distance_km,duration_minutes,avg_speed_kmh,max_speed_kmh,idle_time_minutes,route_type,load_weight_kg,traffic_level,weather,fuel_used_liters
2.2,4,diesel,Van,43.52,142.45,18.33,24.1,31.42,urban,531.18,medium,clear,5.834
2.2,4,diesel,Van,43.45,66.24,39.36,59.28,10.57,urban,1669.8,low,clear,4.103
2.5,4,diesel,Pickup,410.69,295.72,83.33,134.02,14.27,highway,1257.75,low,clear,46.982
3.0,4,diesel,Pickup,41.09,86.6,28.46,41.26,19.74,urban,401.13,low,clear,6.355
3.0,4,diesel,Pickup,352.55,280.72,75.35,127.14,18.06,highway,344.34,medium,rain,40.233
2.8,4,diesel,SUV,231.37,160.13,86.69,137.22,8.78,highway,46.76,medium,clear,26.114
5.7,8,diesel,Truck,19.28,66.32,17.44,24.17,23.24,urban,1734.3,high,clear,7.107
2.8,4,diesel,SUV,11.62,27.43,25.41,44.35,4.03,urban,234.07,low,hot,1.711
2.8,4,diesel,SUV,366.18,273.93,80.21,115.48,19.84,highway,321.06,medium,rain,43.195
1.5,4,petrol,Compact,104.75,120.5,52.15,64.48,15.53,mixed,273.31,medium,rain,7.641
2.2,4,diesel,Van,278.91,191.05,87.59,122.23,7.97,highway,1754.81,low,rain,28.57
2.2,4,diesel,Van,164.4,174.14,56.64,73.4,25.43,mixed,808.98,medium,hot,15.665
2.5,4,diesel,Pickup,26.98,31.01,52.21,86.67,4.58,mixed,753.62,medium,rain,3.005
3.0,4,diesel,Pickup,64.77,59.56,65.25,79.12,5.08,mixed,1805.08,low,rain,7.651
3.0,4,diesel,Pickup,75.75,76.18,59.66,85.98,6.56,mixed,1465.4,low,rain,9.323
2.8,4,diesel,SUV,177.93,106.28,100.45,140.0,7.34,highway,132.48,low,rain,21.92
4.5,6,diesel,SUV,111.04,113.6,58.65,98.0,12.71,mixed,67.75,low,clear,15.063
3.5,6,petrol,SUV,69.1,75.42,54.97,80.98,10.67,mixed,201.99,medium,clear,9.139
2.2,4,diesel,Van,160.13,187.05,51.37,62.7,23.82,mixed,309.69,medium,rain,15.25
3.0,4,diesel,Pickup,487.83,307.39,95.22,117.59,15.84,highway,1748.83,low,clear,54.539
5.7,8,diesel,Truck,97.9,96.38,60.94,73.8,13.69,mixed,1237.17,medium,rain,19.04
5.7,8,diesel,Truck,36.02,79.89,27.05,42.08,14.79,urban,87.32,low,hot,8.354
2.0,4,petrol,Sedan,49.92,178.67,16.76,26.8,55.1,urban,484.72,high,clear,6.929
4.5,6,diesel,SUV,113.08,133.25,50.92,78.58,20.75,mixed,61.24,medium,clear,16.499
2.0,4,petrol,Sedan,32.68,43.27,45.32,80.08,5.86,mixed,230.43,medium,clear,2.774
2.0,4,petrol,Sedan,462.99,460.64,60.31,96.11,35.82,highway,285.81,high,clear,46.371
2.5,4,diesel,Pickup,59.43,59.01,60.42,100.42,7.3,mixed,1924.73,medium,rain,6.249
2.0,4,petrol,Sedan,77.32,102.23,45.38,74.52,12.41,mixed,432.27,medium,clear,7.332
1.5,4,petrol,Compact,109.42,86.47,75.92,132.32,7.73,highway,173.13,medium,rain,8.326
4.5,6,diesel,SUV,198.5,220.67,53.97,81.01,19.07,mixed,204.78,low,clear,28.387
2.8,4,diesel,SUV,22.1,44.21,29.99,46.06,14.6,urban,252.47,high,clear,3.813
1.5,4,petrol,Compact,103.79,100.41,62.02,98.09,12.59,mixed,41.37,low,clear,6.582
2.4,4,diesel,Pickup,93.19,87.68,63.78,93.99,7.74,mixed,534.42,low,clear,8.196
3.5,6,petrol,SUV,39.33,63.42,37.21,54.45,12.97,mixed,483.98,high,clear,6.22
3.5,6,petrol,SUV,81.77,106.21,46.19,76.63,13.42,mixed,443.8,medium,clear,10.941
2.2,4,diesel,Van,245.32,260.82,56.44,77.36,19.66,highway,1337.09,high,rain,27.086
5.7,8,diesel,Truck,42.49,98.26,25.95,37.29,20.24,urban,1964.27,medium,clear,11.673
5.7,8,diesel,Truck,54.27,68.18,47.76,71.21,9.06,mixed,641.42,medium,clear,9.85
2.8,4,diesel,SUV,8.23,19.98,24.71,40.97,12.61,urban,329.52,low,clear,1.48
2.2,4,diesel,Van,14.35,19.48,44.2,60.56,8.66,urban,1684.93,low,rain,1.617
4.5,6,diesel,SUV,135.7,149.47,54.47,86.71,18.8,mixed,483.11,medium,clear,20.443
2.2,4,diesel,Van,44.95,120.36,22.41,37.5,24.14,urban,1933.73,medium,clear,6.392
2.4,4,diesel,Pickup,49.52,116.35,25.54,37.43,29.22,urban,492.0,medium,clear,6.693
2.4,4,diesel,Pickup,416.03,296.93,84.07,112.8,15.05,highway,1152.32,medium,clear,44.268
2.2,4,diesel,Van,49.67,103.14,28.9,49.06,15.3,urban,849.66,low,clear,5.481
3.0,4,diesel,Pickup,473.29,361.4,78.58,117.69,19.64,highway,336.88,medium,rain,53.312
2.8,4,diesel,SUV,147.08,164.59,53.62,85.4,14.81,mixed,97.27,low,rain,15.288
3.5,6,petrol,SUV,135.08,99.5,81.46,128.71,5.18,highway,302.09,medium,clear,17.979
2.2,4,diesel,Van,16.29,28.35,34.48,51.76,6.98,urban,1682.68,low,clear,1.699
2.5,4,diesel,Pickup,195.66,249.69,47.02,74.75,30.01,mixed,1620.52,medium,clear,19.703
4.5,6,diesel,SUV,35.87,67.02,32.11,46.33,10.29,urban,108.41,low,hot,5.696
2.8,4,diesel,SUV,90.28,77.1,70.26,106.08,4.58,highway,343.96,medium,clear,8.899
2.8,4,diesel,SUV,32.73,88.84,22.11,35.19,12.76,urban,277.15,low,clear,4.571
2.4,4,diesel,Pickup,146.54,161.32,54.5,79.52,16.95,mixed,1685.9,low,hot,14.512
3.0,4,diesel,Pickup,10.73,25.18,25.57,32.75,5.6,urban,679.32,low,clear,1.63
3.0,4,diesel,Pickup,170.04,286.57,35.6,52.52,53.84,mixed,994.48,high,clear,23.706
1.5,4,petrol,Compact,165.69,144.77,68.67,120.05,8.16,highway,186.72,medium,clear,11.131
2.0,4,petrol,Sedan,80.15,95.82,50.19,72.22,12.87,mixed,333.71,medium,rain,8.028
5.7,8,diesel,Truck,74.4,49.58,90.04,140.0,2.31,highway,1755.43,low,clear,13.788
3.5,6,petrol,SUV,39.68,57.05,41.74,64.35,10.79,mixed,39.17,medium,rain,5.318
1.5,4,petrol,Compact,232.19,238.47,58.42,79.79,21.03,highway,112.62,high,hot,20.005
2.4,4,diesel,Pickup,468.7,327.36,85.9,117.79,16.91,highway,1573.95,medium,rain,50.98
3.0,4,diesel,Pickup,48.16,142.97,20.21,34.51,29.71,urban,544.48,medium,rain,8.644
4.5,6,diesel,SUV,42.82,76.45,33.61,47.41,11.74,urban,196.84,low,clear,6.286
2.2,4,diesel,Van,154.71,267.09,34.75,46.68,53.77,mixed,1207.49,high,clear,18.423
1.5,4,petrol,Compact,103.67,135.41,45.94,60.32,17.67,mixed,264.29,medium,rain,8.932
5.7,8,diesel,Truck,82.93,93.02,53.49,75.16,11.38,mixed,549.6,low,rain,14.646
2.0,4,petrol,Sedan,36.8,159.01,13.89,18.53,53.1,urban,244.05,high,rain,5.581
2.8,4,diesel,SUV,141.68,171.71,49.51,70.78,21.11,mixed,412.31,medium,rain,18.151
2.4,4,diesel,Pickup,37.62,67.49,33.44,43.68,11.19,urban,1808.07,low,rain,3.762
2.5,4,diesel,Pickup,178.56,288.73,37.11,51.11,56.35,mixed,1681.21,high,rain,25.95
2.0,4,petrol,Sedan,38.5,93.5,24.71,42.41,20.37,urban,78.62,medium,clear,4.75
3.0,4,diesel,Pickup,11.55,34.02,20.37,31.5,6.89,urban,1054.64,medium,clear,1.886
3.0,4,diesel,Pickup,38.82,65.03,35.81,62.18,19.03,mixed,92.52,high,hot,5.366
1.5,4,petrol,Compact,28.16,65.81,25.67,39.92,9.36,urban,73.73,low,rain,2.555
2.0,4,petrol,Sedan,135.43,141.0,57.63,74.57,14.37,highway,363.09,high,rain,14.204
4.5,6,diesel,SUV,6.42,13.36,28.8,41.74,5.57,urban,87.31,medium,rain,1.428
3.5,6,petrol,SUV,387.19,253.61,91.61,136.44,12.88,highway,384.04,medium,clear,51.871
2.4,4,diesel,Pickup,382.26,306.06,74.94,110.69,19.03,highway,1795.12,medium,clear,37.677
2.4,4,diesel,Pickup,34.01,133.58,15.28,18.62,41.69,urban,1524.07,high,rain,6.367
3.0,4,diesel,Pickup,24.67,46.59,31.77,39.18,6.84,urban,1390.52,low,clear,2.612
2.5,4,diesel,Pickup,468.87,509.77,55.19,97.14,39.8,highway,1054.91,high,clear,54.865
2.8,4,diesel,SUV,177.43,198.8,53.55,87.62,25.59,mixed,81.26,medium,clear,22.344
4.5,6,diesel,SUV,21.98,90.83,14.52,17.54,32.34,urban,64.31,high,hot,5.84
2.2,4,diesel,Van,121.71,201.6,36.22,56.56,37.93,mixed,29.07,high,clear,13.617
3.5,6,petrol,SUV,492.16,466.04,63.36,107.99,37.04,highway,169.37,high,hot,72.302
2.0,4,petrol,Sedan,80.16,83.44,57.64,87.09,8.22,mixed,15.41,low,clear,6.738
2.2,4,diesel,Van,229.82,149.87,92.0,140.0,6.24,highway,527.21,low,clear,21.708
2.4,4,diesel,Pickup,50.32,39.66,76.13,93.09,2.25,highway,1972.7,medium,rain,4.94
4.5,6,diesel,SUV,16.56,56.5,17.59,26.55,11.89,urban,470.27,medium,hot,3.54
2.5,4,diesel,Pickup,253.24,181.85,83.56,105.03,9.54,highway,826.93,medium,rain,25.147
2.8,4,diesel,SUV,14.34,67.81,12.68,17.02,16.18,urban,65.87,medium,rain,2.37
3.5,6,petrol,SUV,108.92,117.93,55.41,92.77,14.85,mixed,247.83,medium,rain,14.314
2.5,4,diesel,Pickup,446.86,372.99,71.88,86.88,20.36,highway,804.55,medium,rain,45.013
5.7,8,diesel,Truck,319.87,321.81,59.64,83.33,26.02,highway,1742.53,high,clear,74.831
2.5,4,diesel,Pickup,237.2,158.0,90.07,135.79,7.19,highway,988.32,low,clear,23.909
3.0,4,diesel,Pickup,23.01,55.08,25.06,42.13,12.18,urban,981.23,medium,clear,3.464
1.5,4,petrol,Compact,179.29,250.93,42.87,58.37,33.36,mixed,22.07,medium,clear,13.487
3.0,4,diesel,Pickup,8.94,16.95,31.65,51.89,3.51,urban,1359.45,low,rain,1.163
2.4,4,diesel,Pickup,10.12,17.94,33.84,55.06,3.98,urban,159.18,medium,clear,0.996
3.0,4,diesel,Pickup,33.28,97.57,20.47,36.56,19.59,urban,890.21,medium,clear,5.785
3.0,4,diesel,Pickup,263.91,182.12,86.95,140.0,9.46,highway,762.82,medium,clear,28.273
5.7,8,diesel,Truck,31.39,34.56,54.5,94.62,4.41,mixed,1338.7,low,hot,6.086
1.5,4,petrol,Compact,19.17,40.66,28.29,44.1,5.76,urban,137.45,low,hot,1.67
5.7,8,diesel,Truck,66.66,71.03,56.3,81.44,6.0,mixed,541.04,low,clear,12.377
2.0,4,petrol,Sedan,14.89,24.82,35.99,60.12,4.68,urban,396.09,low,rain,1.352
2.2,4,diesel,Van,120.77,203.78,35.56,48.21,37.37,mixed,1410.61,high,rain,14.982
2.2,4,diesel,Van,186.06,277.27,40.26,66.59,33.87,mixed,1387.02,medium,clear,19.19
2.5,4,diesel,Pickup,59.82,64.67,55.51,82.37,9.68,mixed,912.65,medium,rain,7.085
4.5,6,diesel,SUV,31.51,51.17,36.95,49.08,7.19,urban,388.28,low,clear,4.41
1.5,4,petrol,Compact,64.21,75.71,50.89,64.09,9.72,mixed,427.55,medium,rain,4.966
5.7,8,diesel,Truck,473.97,296.64,95.87,130.65,11.66,highway,1421.98,low,clear,91.083
2.0,4,petrol,Sedan,36.19,81.67,26.59,37.27,11.97,urban,240.32,low,hot,4.384
1.5,4,petrol,Compact,126.39,92.92,81.61,119.93,4.94,highway,217.79,low,hot,8.794
2.5,4,diesel,Pickup,70.85,64.5,65.9,100.16,10.77,mixed,1902.89,low,clear,7.356
2.4,4,diesel,Pickup,100.63,160.29,37.67,64.42,19.76,mixed,479.42,medium,hot,10.948
2.8,4,diesel,SUV,457.39,414.0,66.29,112.01,39.94,highway,194.43,high,clear,50.869
3.5,6,petrol,SUV,97.02,155.21,37.51,60.42,28.21,mixed,393.24,high,hot,14.658
5.7,8,diesel,Truck,151.6,194.95,46.66,70.82,24.08,mixed,1257.81,medium,clear,28.937
1.5,4,petrol,Compact,42.85,42.02,61.19,95.77,10.6,mixed,186.8,low,clear,2.891
2.0,4,petrol,Sedan,29.25,80.73,21.74,35.27,18.22,urban,186.97,medium,hot,3.674
2.4,4,diesel,Pickup,160.63,189.08,50.97,81.72,16.32,mixed,1791.31,low,clear,15.268
3.5,6,petrol,SUV,42.72,47.75,53.67,79.87,7.08,mixed,360.99,medium,hot,6.423
2.4,4,diesel,Pickup,358.49,293.55,73.27,123.8,17.92,highway,972.78,medium,clear,33.632
1.5,4,petrol,Compact,55.65,101.2,32.99,39.62,18.72,mixed,170.22,high,hot,5.16
2.4,4,diesel,Pickup,198.64,134.72,88.47,118.41,5.58,highway,1515.47,low,clear,19.399
3.5,6,petrol,SUV,468.9,356.6,78.89,131.17,18.97,highway,473.42,medium,clear,55.03
2.2,4,diesel,Van,39.23,81.35,28.94,41.31,12.8,urban,1125.66,low,clear,4.574
5.7,8,diesel,Truck,164.77,208.11,47.51,66.75,25.34,mixed,1163.3,medium,hot,32.045
2.0,4,petrol,Sedan,287.04,194.88,88.38,129.53,7.4,highway,454.62,low,clear,23.461
2.8,4,diesel,SUV,34.72,77.08,27.02,43.52,11.68,urban,333.9,low,clear,5.152
3.0,4,diesel,Pickup,196.13,291.81,40.33,54.49,60.46,mixed,1227.42,high,hot,28.321
4.5,6,diesel,SUV,5.99,15.88,22.63,35.46,4.6,urban,171.24,low,rain,1.33
1.5,4,petrol,Compact,12.36,63.99,11.59,15.48,19.25,urban,361.47,high,rain,1.731
2.0,4,petrol,Sedan,58.08,62.12,56.1,99.95,7.02,highway,35.46,high,clear,5.702
4.5,6,diesel,SUV,480.26,563.68,51.12,61.97,43.58,highway,256.85,high,rain,87.136
2.0,4,petrol,Sedan,13.04,32.29,24.23,36.47,5.82,urban,135.34,low,clear,1.349
5.7,8,diesel,Truck,440.12,317.85,83.08,124.37,16.17,highway,1392.44,medium,clear,86.001
3.5,6,petrol,SUV,352.64,256.3,82.55,140.0,13.05,highway,88.56,medium,clear,49.106
4.5,6,diesel,SUV,103.24,124.16,49.89,73.72,17.97,mixed,410.79,medium,rain,16.828
1.5,4,petrol,Compact,37.9,113.14,20.1,34.18,35.29,urban,381.29,high,clear,4.666
2.0,4,petrol,Sedan,28.75,69.59,24.79,39.43,27.75,urban,431.49,high,clear,4.492
1.5,4,petrol,Compact,22.86,43.79,31.32,44.88,6.51,urban,113.42,low,clear,1.741
3.0,4,diesel,Pickup,31.42,54.73,34.45,55.87,11.64,urban,940.74,medium,clear,3.989
1.5,4,petrol,Compact,51.61,86.94,35.61,50.38,16.29,mixed,403.61,high,rain,4.582
4.5,6,diesel,SUV,292.27,359.3,48.81,58.68,27.5,highway,254.86,high,clear,48.317
2.0,4,petrol,Sedan,397.58,304.55,78.33,101.8,17.97,highway,189.14,medium,hot,35.254
2.8,4,diesel,SUV,10.87,25.85,25.22,45.18,4.36,urban,65.16,low,clear,1.478
2.0,4,petrol,Sedan,482.67,320.26,90.43,109.71,13.26,highway,206.96,low,hot,37.868
4.5,6,diesel,SUV,31.45,96.09,19.63,26.84,23.75,urban,318.11,medium,clear,6.35
3.0,4,diesel,Pickup,339.28,348.98,58.33,81.55,32.72,highway,1802.97,high,clear,46.654
2.4,4,diesel,Pickup,95.49,67.77,84.55,140.0,3.59,highway,45.1,medium,hot,8.809
2.8,4,diesel,SUV,8.83,22.02,24.08,42.7,6.61,urban,123.97,high,rain,1.755
2.2,4,diesel,Van,111.53,83.18,80.45,140.0,8.2,highway,575.1,medium,clear,10.649
2.5,4,diesel,Pickup,76.9,111.93,41.22,56.41,20.6,mixed,306.73,medium,clear,8.042
2.0,4,petrol,Sedan,17.96,39.03,27.6,44.93,10.14,urban,159.66,medium,hot,2.102
2.2,4,diesel,Van,123.25,74.48,99.28,140.0,2.84,highway,975.16,low,clear,11.491
3.5,6,petrol,SUV,335.82,318.96,63.17,96.32,24.7,highway,68.13,high,rain,50.455
2.8,4,diesel,SUV,167.05,241.66,41.48,70.08,32.24,mixed,422.85,medium,rain,20.611
2.4,4,diesel,Pickup,80.19,55.29,87.03,140.0,3.14,highway,1794.84,medium,rain,8.83
4.5,6,diesel,SUV,34.25,81.97,25.07,33.13,20.85,mixed,221.99,high,clear,7.895
2.8,4,diesel,SUV,17.06,29.51,34.69,47.74,4.62,urban,79.32,low,hot,1.748
3.0,4,diesel,Pickup,104.66,106.02,59.23,89.31,11.13,mixed,1694.71,low,clear,12.27
3.0,4,diesel,Pickup,21.56,29.54,43.79,52.58,4.92,mixed,1505.62,medium,rain,2.54
5.7,8,diesel,Truck,34.31,46.87,43.92,62.45,6.42,mixed,847.08,medium,rain,7.0
2.5,4,diesel,Pickup,48.12,100.25,28.8,49.23,14.08,urban,1208.98,low,hot,6.07
2.2,4,diesel,Van,141.36,171.71,49.39,83.25,17.65,mixed,914.05,low,rain,13.101
5.7,8,diesel,Truck,67.71,106.21,38.25,56.0,12.94,mixed,1437.21,medium,clear,14.447
4.5,6,diesel,SUV,31.27,90.16,20.81,31.68,18.49,urban,77.88,medium,clear,5.701
2.5,4,diesel,Pickup,274.09,182.81,89.96,140.0,9.53,highway,504.45,medium,clear,31.008
3.0,4,diesel,Pickup,58.55,62.03,56.64,72.85,7.69,mixed,1067.45,low,clear,6.483
4.5,6,diesel,SUV,178.7,249.26,43.02,62.37,46.96,mixed,154.72,high,hot,30.566
1.5,4,petrol,Compact,16.87,40.39,25.06,39.18,14.67,urban,294.74,medium,rain,1.833
2.8,4,diesel,SUV,332.38,240.04,83.08,136.99,16.73,highway,431.77,medium,clear,38.485
2.0,4,petrol,Sedan,18.03,51.83,20.87,36.18,14.1,urban,262.72,medium,rain,2.634
4.5,6,diesel,SUV,146.14,245.89,35.66,60.6,46.21,mixed,332.86,high,rain,26.917
3.5,6,petrol,SUV,384.5,254.93,90.5,129.55,16.97,highway,195.55,low,clear,43.421
2.2,4,diesel,Van,12.21,36.15,20.27,33.25,7.29,urban,1234.93,medium,clear,1.596
2.8,4,diesel,SUV,32.44,75.94,25.63,33.42,16.96,urban,427.31,low,clear,4.442
2.8,4,diesel,SUV,381.49,283.49,80.74,109.16,14.75,highway,295.19,medium,clear,40.866
4.5,6,diesel,SUV,50.63,57.1,53.2,81.6,5.86,mixed,473.87,low,clear,6.793
4.5,6,diesel,SUV,39.72,69.62,34.23,47.65,10.1,urban,217.92,low,clear,5.479
3.5,6,petrol,SUV,10.11,20.2,30.03,45.21,4.8,urban,178.19,low,clear,1.316
2.8,4,diesel,SUV,106.95,64.2,99.95,135.42,3.56,highway,496.01,low,clear,11.535
3.5,6,petrol,SUV,27.29,33.59,48.75,70.26,7.77,mixed,173.13,medium,rain,3.871
2.4,4,diesel,Pickup,19.13,54.91,20.9,32.95,8.41,urban,1936.04,low,rain,2.697
1.5,4,petrol,Compact,79.22,111.38,42.68,59.99,14.42,mixed,360.21,medium,rain,5.984
2.5,4,diesel,Pickup,125.16,119.04,63.08,84.86,14.18,mixed,38.09,low,clear,11.985
2.5,4,diesel,Pickup,34.37,81.8,25.21,37.76,16.67,urban,1840.54,medium,hot,5.055
3.5,6,petrol,SUV,32.99,55.77,35.5,60.93,9.72,urban,6.38,low,clear,4.197
4.5,6,diesel,SUV,207.61,158.45,78.62,111.96,8.4,highway,292.56,medium,rain,28.864
5.7,8,diesel,Truck,84.12,199.19,25.34,33.21,36.86,mixed,349.3,high,clear,22.829
3.5,6,petrol,SUV,194.94,132.54,88.24,140.0,5.55,highway,456.29,low,clear,24.024
2.8,4,diesel,SUV,134.84,148.85,54.35,97.39,20.5,mixed,388.47,medium,rain,17.522
2.0,4,petrol,Sedan,28.13,60.98,27.68,42.7,10.04,urban,19.1,low,clear,3.278
4.5,6,diesel,SUV,21.07,22.75,55.55,78.56,2.96,mixed,210.44,medium,rain,3.327
1.5,4,petrol,Compact,33.96,118.86,17.14,25.33,24.76,urban,431.79,medium,rain,3.6
2.0,4,petrol,Sedan,168.57,175.4,57.66,78.81,15.75,mixed,85.07,low,clear,14.332
2.5,4,diesel,Pickup,340.21,250.02,81.64,139.76,13.12,highway,1039.0,medium,clear,37.711
2.2,4,diesel,Van,164.65,349.92,28.23,41.09,64.58,mixed,1356.84,high,rain,25.523
2.4,4,diesel,Pickup,362.23,219.93,98.82,140.0,8.31,highway,1519.44,low,clear,38.147
3.5,6,petrol,SUV,363.43,263.37,82.79,139.99,14.94,highway,126.09,medium,clear,46.27
3.0,4,diesel,Pickup,37.39,40.77,55.02,67.59,4.98,mixed,501.6,medium,rain,4.134
2.4,4,diesel,Pickup,185.52,139.71,79.67,123.31,7.66,highway,733.92,medium,clear,19.868
2.2,4,diesel,Van,158.69,226.57,42.02,57.8,43.09,mixed,1589.6,high,clear,20.056
1.5,4,petrol,Compact,278.44,186.64,89.51,114.13,6.62,highway,140.75,low,hot,20.553
5.7,8,diesel,Truck,373.8,433.0,51.8,66.67,33.24,highway,1952.14,high,clear,87.324
2.5,4,diesel,Pickup,282.84,209.9,80.85,140.0,11.23,highway,223.19,medium,clear,29.049
2.0,4,petrol,Sedan,43.66,122.28,21.42,28.29,29.57,urban,426.33,medium,hot,5.475
3.5,6,petrol,SUV,63.72,42.65,89.65,135.4,2.42,highway,370.39,low,clear,8.424
1.5,4,petrol,Compact,38.56,111.29,20.79,30.45,36.03,urban,312.51,high,rain,5.183
2.0,4,petrol,Sedan,97.94,102.39,57.39,93.05,10.04,mixed,436.05,low,rain,8.401
2.2,4,diesel,Van,30.94,129.74,14.31,23.32,39.21,urban,582.59,high,clear,5.411
2.4,4,diesel,Pickup,67.81,74.46,54.64,73.41,9.02,mixed,1247.78,medium,clear,7.227
3.5,6,petrol,SUV,437.97,472.71,55.59,88.64,39.96,highway,196.48,high,hot,70.777
5.7,8,diesel,Truck,162.5,108.82,89.6,140.0,6.02,highway,1173.46,medium,hot,32.445
5.7,8,diesel,Truck,472.44,417.5,67.9,82.75,31.69,highway,1265.87,high,clear,103.541
3.5,6,petrol,SUV,294.88,224.02,78.98,101.16,12.57,highway,84.55,medium,clear,41.489
5.7,8,diesel,Truck,30.06,93.04,19.39,29.04,19.26,urban,1069.81,medium,clear,7.928
3.5,6,petrol,SUV,43.49,106.6,24.48,32.78,18.12,urban,281.56,low,clear,7.027
3.0,4,diesel,Pickup,354.26,249.24,85.28,139.62,12.46,highway,1907.84,medium,clear,44.055
2.2,4,diesel,Van,171.77,241.13,42.74,72.54,30.48,mixed,306.09,medium,clear,16.313
2.4,4,diesel,Pickup,443.84,615.4,43.27,56.13,48.57,highway,1853.61,high,clear,53.66
3.0,4,diesel,Pickup,78.94,87.11,54.38,76.0,8.07,highway,1821.59,high,hot,11.213
3.5,6,petrol,SUV,90.65,100.16,54.31,79.88,13.41,mixed,260.41,medium,clear,11.697
2.2,4,diesel,Van,15.06,29.49,30.63,42.99,4.4,urban,828.96,low,rain,1.392
2.5,4,diesel,Pickup,108.65,130.68,49.89,73.34,16.13,mixed,615.31,medium,rain,12.719
3.5,6,petrol,SUV,147.34,106.48,83.02,117.4,14.44,highway,131.29,medium,hot,20.801
2.8,4,diesel,SUV,334.98,268.88,74.75,96.25,14.13,highway,154.88,medium,rain,34.239
4.5,6,diesel,SUV,165.89,172.55,57.68,78.84,25.91,mixed,446.63,low,clear,23.846
2.8,4,diesel,SUV,172.34,193.23,53.51,90.55,24.22,mixed,110.75,medium,clear,20.468
2.5,4,diesel,Pickup,333.46,249.62,80.15,100.44,12.53,highway,1582.39,medium,rain,36.739
4.5,6,diesel,SUV,45.01,49.78,54.26,70.47,6.84,mixed,132.43,medium,rain,6.689
2.0,4,petrol,Sedan,128.39,134.03,57.48,101.65,16.96,mixed,124.94,medium,hot,11.832
2.0,4,petrol,Sedan,83.45,99.79,50.17,87.49,9.0,highway,68.88,high,clear,7.829
4.5,6,diesel,SUV,18.98,32.62,34.91,53.23,10.23,urban,380.87,medium,hot,3.046
5.7,8,diesel,Truck,19.61,67.45,17.44,26.8,14.01,urban,1644.42,medium,hot,5.206
5.7,8,diesel,Truck,12.32,37.53,19.7,29.78,14.81,urban,838.5,high,rain,4.479
3.5,6,petrol,SUV,41.41,77.9,31.89,46.75,12.91,urban,431.44,low,rain,5.189
3.5,6,petrol,SUV,145.16,139.53,62.42,86.06,11.74,mixed,150.33,low,clear,16.802
1.5,4,petrol,Compact,178.24,202.76,52.74,74.03,24.48,mixed,290.02,medium,clear,13.88
1.5,4,petrol,Compact,39.39,120.47,19.62,29.74,25.1,urban,90.18,medium,clear,4.078
3.0,4,diesel,Pickup,233.23,172.74,81.01,106.88,10.06,highway,314.76,medium,clear,24.437
2.2,4,diesel,Van,45.35,77.78,34.98,44.95,14.48,urban,16.29,low,clear,4.304
3.5,6,petrol,SUV,477.09,374.91,76.35,130.3,19.88,highway,414.33,medium,clear,61.335
2.5,4,diesel,Pickup,199.91,228.23,52.55,85.02,27.75,mixed,297.35,medium,rain,20.441
2.0,4,petrol,Sedan,26.42,66.27,23.92,33.27,10.47,urban,313.12,low,clear,3.178
2.0,4,petrol,Sedan,352.94,273.97,77.29,138.68,13.86,highway,330.9,medium,clear,30.689
2.8,4,diesel,SUV,191.83,296.87,38.77,57.34,37.97,mixed,442.0,medium,rain,22.747
1.5,4,petrol,Compact,22.84,57.14,23.98,38.69,13.65,urban,80.1,medium,rain,2.333
2.2,4,diesel,Van,21.01,35.91,35.11,43.05,7.32,mixed,358.36,high,rain,2.212
4.5,6,diesel,SUV,259.13,176.64,88.02,140.0,14.05,highway,272.73,low,clear,36.259
2.0,4,petrol,Sedan,31.44,70.94,26.59,45.03,10.43,urban,121.48,low,clear,3.327
2.5,4,diesel,Pickup,324.68,240.85,80.88,100.69,13.28,highway,1781.65,medium,clear,35.746
2.5,4,diesel,Pickup,188.01,281.46,40.08,58.16,51.83,mixed,1268.49,high,clear,23.612
2.2,4,diesel,Van,20.57,54.02,22.84,31.99,11.03,urban,291.26,medium,clear,2.386
2.0,4,petrol,Sedan,366.77,443.14,49.66,87.38,33.81,highway,321.27,high,clear,35.286
2.8,4,diesel,SUV,424.75,314.47,81.04,123.22,16.68,highway,170.14,medium,clear,44.708
2.4,4,diesel,Pickup,190.12,192.57,59.24,83.61,16.94,highway,315.41,high,clear,20.605
5.7,8,diesel,Truck,20.17,86.83,13.94,21.0,27.26,urban,1534.34,high,clear,6.891
5.7,8,diesel,Truck,368.54,222.47,99.39,132.86,9.13,highway,716.58,low,rain,72.3
2.5,4,diesel,Pickup,43.66,156.16,16.78,24.66,29.01,urban,1700.53,low,clear,6.211
4.5,6,diesel,SUV,54.28,104.31,31.22,44.77,21.48,mixed,193.22,high,rain,9.939
3.0,4,diesel,Pickup,199.01,269.15,44.37,77.55,32.94,mixed,1601.62,medium,clear,25.312
2.0,4,petrol,Sedan,26.76,108.15,14.85,18.99,22.57,urban,336.13,medium,clear,3.491
3.5,6,petrol,SUV,115.75,182.35,38.09,56.64,35.23,mixed,460.89,high,clear,18.187
5.7,8,diesel,Truck,68.68,103.09,39.97,56.58,20.39,mixed,236.11,high,hot,15.701
5.7,8,diesel,Truck,40.22,63.49,38.01,54.46,9.24,urban,796.3,low,rain,7.661
3.5,6,petrol,SUV,26.44,51.26,30.95,38.53,15.17,urban,10.32,medium,clear,3.525
3.0,4,diesel,Pickup,222.4,163.25,81.74,139.6,6.83,highway,1104.04,low,clear,22.97
